Date,Product,Sales Amount,Opportunity Status,Customer,Total Sales
2023-01-01,Accessories,4869.94,Pending,Customer_41,15440.41
2023-01-01,Accessories,3966.89,Won,Customer_23,15440.41
2023-01-01,Tablet,252.47,Won,Customer_30,15440.41
2023-01-01,Laptop,212.37,Won,Customer_72,15440.41
2023-01-01,Laptop,2791.68,Won,Customer_59,15440.41
2023-01-01,Accessories,3347.06,Won,Customer_2,15440.41
2023-01-02,Desktop,491.83,Won,Customer_84,4176.82
2023-01-02,Phone,3268.37,Won,Customer_60,4176.82
2023-01-02,Tablet,416.62,Lost,Customer_53,4176.82
2023-01-03,Phone,3820.82,Won,Customer_66,3820.82
2023-01-04,Tablet,4529.18,Won,Customer_42,12262.74
2023-01-04,Desktop,842.76,Won,Customer_2,12262.74
2023-01-04,Phone,3934.18,Won,Customer_19,12262.74
2023-01-04,Laptop,2956.62,Pending,Customer_22,12262.74
2023-01-05,Accessories,1734.49,Pending,Customer_90,17416.9
2023-01-05,Desktop,4164.98,Lost,Customer_95,17416.9
2023-01-05,Laptop,4866.6,Won,Customer_48,17416.9
2023-01-05,Phone,2833.32,Lost,Customer_93,17416.9
2023-01-05,Accessories,3817.51,Won,Customer_86,17416.9
2023-01-06,Phone,1634.71,Lost,Customer_10,9008.05
2023-01-06,Desktop,1251.68,Lost,Customer_14,9008.05
2023-01-06,Accessories,3678.21,Won,Customer_63,9008.05
2023-01-06,Phone,2443.45,Won,Customer_49,9008.05
2023-01-07,Laptop,2938.41,Won,Customer_54,6750.07
2023-01-07,Laptop,3811.66,Won,Customer_71,6750.07
2023-01-08,Desktop,909.5,Won,Customer_42,1900.7
2023-01-08,Phone,513.52,Won,Customer_47,1900.7
2023-01-08,Accessories,477.68,Lost,Customer_25,1900.7
2023-01-09,Desktop,1403.49,Won,Customer_52,6112.110000000001
2023-01-09,Accessories,1058.49,Won,Customer_73,6112.110000000001
2023-01-09,Accessories,3650.13,Won,Customer_62,6112.110000000001
2023-01-10,Accessories,3934.65,Won,Customer_31,8607.68
2023-01-10,Accessories,2165.08,Lost,Customer_90,8607.68
2023-01-10,Laptop,2507.95,Won,Customer_14,8607.68
2023-01-12,Phone,866.27,Won,Customer_14,3777.9300000000003
2023-01-12,Desktop,118.7,Won,Customer_25,3777.9300000000003
2023-01-12,Phone,2792.96,Lost,Customer_88,3777.9300000000003
2023-01-13,Tablet,596.17,Pending,Customer_80,4585.36
2023-01-13,Tablet,550.17,Won,Customer_64,4585.36
2023-01-13,Tablet,1359.53,Pending,Customer_96,4585.36
2023-01-13,Tablet,2079.49,Won,Customer_19,4585.36
2023-01-14,Phone,2079.1,Lost,Customer_40,8529.8
2023-01-14,Laptop,1007.62,Lost,Customer_3,8529.8
2023-01-14,Phone,1208.77,Lost,Customer_12,8529.8
2023-01-14,Desktop,4234.31,Won,Customer_47,8529.8
2023-01-15,Laptop,2607.24,Won,Customer_38,4987.83
2023-01-15,Phone,1445.25,Lost,Customer_40,4987.83
2023-01-15,Accessories,935.34,Won,Customer_73,4987.83
2023-01-16,Accessories,4556.01,Won,Customer_21,4556.01
2023-01-17,Desktop,151.1,Won,Customer_38,151.1
2023-01-18,Laptop,902.05,Won,Customer_82,902.05
2023-01-19,Tablet,4323.74,Won,Customer_24,7977.15
2023-01-19,Tablet,3653.41,Won,Customer_84,7977.15
2023-01-20,Desktop,2125.74,Lost,Customer_5,6191.68
2023-01-20,Tablet,2233.98,Won,Customer_74,6191.68
2023-01-20,Tablet,1831.96,Won,Customer_67,6191.68
2023-01-21,Tablet,703.79,Won,Customer_88,3461.37
2023-01-21,Accessories,2757.58,Won,Customer_45,3461.37
2023-01-22,Desktop,274.3,Lost,Customer_50,8412.06
2023-01-22,Desktop,3359.93,Won,Customer_59,8412.06
2023-01-22,Phone,4777.83,Pending,Customer_94,8412.06
2023-01-23,Desktop,1767.99,Won,Customer_90,5286.58
2023-01-23,Tablet,3518.59,Won,Customer_56,5286.58
2023-01-25,Desktop,2702.32,Won,Customer_57,10476.880000000001
2023-01-25,Laptop,3979.43,Lost,Customer_47,10476.880000000001
2023-01-25,Desktop,3795.13,Won,Customer_79,10476.880000000001
2023-01-26,Desktop,3504.92,Won,Customer_92,11155.21
2023-01-26,Laptop,3666.94,Won,Customer_73,11155.21
2023-01-26,Tablet,3983.35,Won,Customer_100,11155.21
2023-01-27,Tablet,1838.72,Lost,Customer_88,1838.72
2023-01-28,Desktop,319.41,Lost,Customer_96,9823.130000000001
2023-01-28,Phone,4527.68,Won,Customer_85,9823.130000000001
2023-01-28,Laptop,2597.65,Won,Customer_39,9823.130000000001
2023-01-28,Laptop,480.31,Lost,Customer_50,9823.130000000001
2023-01-28,Phone,1898.08,Won,Customer_22,9823.130000000001
2023-01-29,Desktop,913.57,Lost,Customer_39,4304.21
2023-01-29,Desktop,3390.64,Won,Customer_59,4304.21
2023-01-30,Tablet,2401.74,Won,Customer_52,2401.74
2023-01-31,Laptop,4151.39,Lost,Customer_21,4151.39
2023-02-02,Desktop,1485.45,Won,Customer_17,8896.94
2023-02-02,Accessories,4030.44,Won,Customer_6,8896.94
2023-02-02,Phone,3381.05,Lost,Customer_76,8896.94
2023-02-03,Accessories,2706.37,Won,Customer_66,10138.04
2023-02-03,Desktop,3714.07,Won,Customer_37,10138.04
2023-02-03,Phone,2044.3,Won,Customer_50,10138.04
2023-02-03,Phone,1673.3,Lost,Customer_16,10138.04
2023-02-04,Phone,112.66,Won,Customer_64,5450.46
2023-02-04,Tablet,1795.01,Won,Customer_27,5450.46
2023-02-04,Laptop,1216.43,Lost,Customer_56,5450.46
2023-02-04,Accessories,1969.9,Won,Customer_54,5450.46
2023-02-04,Accessories,356.46,Lost,Customer_81,5450.46
2023-02-05,Accessories,838.31,Won,Customer_67,4976.929999999999
2023-02-05,Desktop,555.35,Won,Customer_89,4976.929999999999
2023-02-05,Accessories,2586.49,Won,Customer_18,4976.929999999999
2023-02-05,Phone,996.78,Pending,Customer_18,4976.929999999999
2023-02-06,Laptop,3265.84,Won,Customer_33,6750.5
2023-02-06,Phone,713.64,Won,Customer_58,6750.5
2023-02-06,Desktop,2771.02,Won,Customer_7,6750.5
2023-02-07,Desktop,268.86,Lost,Customer_78,2632.4
2023-02-07,Desktop,2363.54,Won,Customer_54,2632.4
2023-02-08,Tablet,1351.92,Won,Customer_92,16848.7
2023-02-08,Tablet,2871.19,Won,Customer_92,16848.7
2023-02-08,Laptop,1682.75,Won,Customer_6,16848.7
2023-02-08,Phone,1996.69,Lost,Customer_13,16848.7
2023-02-08,Phone,416.97,Pending,Customer_100,16848.7
2023-02-08,Accessories,3790.62,Lost,Customer_34,16848.7
2023-02-08,Laptop,4738.56,Won,Customer_60,16848.7
2023-02-09,Tablet,3574.17,Won,Customer_10,3574.17
2023-02-10,Laptop,2065.82,Lost,Customer_9,2841.8100000000004
2023-02-10,Phone,389.56,Lost,Customer_45,2841.8100000000004
2023-02-10,Tablet,386.43,Lost,Customer_64,2841.8100000000004
2023-02-11,Accessories,2171.18,Won,Customer_76,8079.09
2023-02-11,Phone,3778.57,Won,Customer_4,8079.09
2023-02-11,Phone,2129.34,Won,Customer_90,8079.09
2023-02-12,Tablet,2704.84,Won,Customer_37,4906.39
2023-02-12,Accessories,2201.55,Pending,Customer_45,4906.39
2023-02-13,Tablet,3293.17,Pending,Customer_65,10583.29
2023-02-13,Laptop,4239.47,Won,Customer_6,10583.29
2023-02-13,Laptop,1580.1,Won,Customer_96,10583.29
2023-02-13,Tablet,1470.55,Won,Customer_25,10583.29
2023-02-14,Laptop,1774.21,Won,Customer_14,1774.21
2023-02-15,Phone,1210.98,Won,Customer_82,8094.9
2023-02-15,Phone,4803.15,Won,Customer_90,8094.9
2023-02-15,Laptop,2080.77,Won,Customer_96,8094.9
